"PLAYER_ID","BIRTH_DATE","BIRTH_COUNTRY","BIRTH_STATE","WEIGHT","HEIGHT","BATS","THROWS","DEBUT"
"60fd54d6c854797c5465246f9b6a1ce6",2000-10-03,"USA","GA",185,74,"L","R","2022-04-08"
"442b17b81924a2b87d18523498472eee",1987-01-29,"Cuba","Cienfuegos",235,75,"R","R","2014-03-31"
"a9e36184c13b79c05af92b316cd76375",1999-06-24,"Venezuela","Zulia",215,70,"L","L","2023-08-22"
"59bcfd7cfe0204b465a9c85b00debbde",1997-12-18,"Venezuela","Vargas",205,72,"R","R","2018-04-25"
"fc1b0ad395f75db23ac66029fedc0e84",1995-09-02,"D.R.","Santiago",210,72,"R","R","2018-05-22"
"3ff56c075446d20f65fe8c826167d97a",1999-10-18,"USA","MS",181,74,"R","R","2023-08-02"
"bcd8c385c4f0912f7a19d2196cdf3637",1996-06-26,"USA","CA",249,76,"R","R","2021-06-08"
"e444a5676b8f51e2cf46a9fc0cf6f05f",1999-04-08,"USA","NC",215,75,"R","R","2020-08-04"
"b1cc8ad7e8c20e6e1f2b812afd4c0674",1989-08-21,"Venezuela","Miranda",198,73,"B","R","2013-09-08"
"7c9642d8df2cc97e5384e822ba554c24",1990-06-30,"Venezuela","Aragua",277,75,"R","R","2014-05-15"
"8c1b090283c0ff7b621be7353a3ad6b2",1994-09-11,"USA","CA",168,74,"L","L","2022-08-26"
"0e20c88e031608016c252baa8dbc13c9",1990-03-15,"USA","MA",201,74,"R","R","2014-06-29"
"d3fb6f9186a62dfdb211f09fae41c3af",1992-10-17,"D.R.","Duarte",215,71,"R","R","2015-05-29"
"e643824eeaa8249d3f0048e9a868a8ed",1997-01-07,"Curacao",,165,68,"B","R","2017-08-01"
"b66d18984bfd8dc7c31df2b63ebd4e58",1996-07-10,"D.R.","Santo Domingo",151,69,"B","R","2020-09-06"
"c695697a1f5017cddb3efe80a6802e05",1999-06-11,"USA","FL",160,72,"R","R","2024-03-28"
"ec71fc47496b876d8abaff7eabc498e0",1994-07-14,"USA","IL",203,74,"R","L","2019-07-03"
"a878c6209a02bbf2192c3f137be7f299",1993-06-11,"Colombia","Sucre",230,75,"R","R","2016-09-12"
"bc2280e3d89d7973bb1787d93a5ca9a3",1994-07-20,"USA","MS",215,73,"R","R","2017-05-19"
"c71103b91c0a87351c5bb6f9448fed9a",1994-01-16,"USA","MO",219,74,"L","R","2019-05-11"
"ecc1a15831c63fd0ef2e4fcf4c15d9e5",1993-03-15,"USA","CA",185,72,"B","R","2017-09-01"
"2d723cdc06d9b7ad6416ebc2b66e655f",1998-10-08,"USA","CA",166,68,"R","R","2022-04-19"
"e30c8fafbfc5ca081065706a234d4db4",1989-06-27,"D.R.","Distrito Nacional",223,70,"B","R","2013-08-30"
"59f3c9c14a94605a63b2375b207e414f",1994-04-16,"USA","FL",190,74,"R","R","2016-06-07"
"9e80d998ac12c541f0f8f230869e0ac5",1994-12-07,"USA","FL",253,74,"R","R","2019-03-28"
"4cd66ec66eed9b27e1fd7ee13f39c6cb",1990-05-06,"Venezuela","Carabobo",166,66,"R","R","2011-07-20"
"50ccf03d557a213afd802283e3440cd8",1997-04-06,"USA","NJ",186,70,"L","R","2023-05-09"
"3eac9bf473ba283991d5ecb4fd160791",1995-05-21,"Venezuela","Zulia",240,72,"L","L","2017-05-03"
