"SEASON","PLAYER_ID","HOME_AWAY","G","PA","AB","H","X1B","X2B","X3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB.","K.","BB.K","OBP","SLG","OPS","ISO","BABIP","WRC","WRAA","WOBA","WRC.","GB.FB","LD.","GB.","FB.","IFFB.","HR.FB","IFH.","BUH.","PULL.","CENT.","OPPO.","SOFT.","MED.","HARD."
2022,"5cc30873a52a6a8e780085c2fce53f97","home",53,169,143,35,20,5,0,10,21,31,18,1,20,5,3,0,6,0,0,0.244755244,0.106508875,0.118343195,0.9,0.343195266,0.489510489,0.832705755,0.244755245,0.215517241,25.6993505771915,6.37480017949737,0.357226944750264,135.075392327649,0.622950819,0.214285714,0.301587301,0.484126984,0.196721311,0.163934426,0.052631578,0,0.52380952,0.29365079,0.18253968,0.19047619,0.44444444,0.36507937
2022,"eb09596e4b17b3dbd2678ed016c2328f","home",56,211,193,59,49,6,0,4,17,26,14,3,50,1,3,0,8,0,0,0.305699481,0.06635071,0.236966824,0.28,0.3507109,0.39896373,0.74967463,0.093264249,0.387323943,26.5728443694344,2.44574298533108,0.324336316436529,113.76946035309,2.111111111,0.232876712,0.520547945,0.246575342,0.027777777,0.111111111,0.039473684,0,0.32876712,0.38356164,0.28767123,0.10273973,0.65068493,0.24657534
2022,"3312c6017368dd2f720b1161bbbf5867","home",73,263,236,57,32,18,2,5,18,32,20,2,58,3,4,0,4,1,1,0.241525423,0.076045627,0.220532319,0.344827586,0.304182509,0.398305084,0.702487593,0.156779661,0.29378531,28.657836251908,-1.41528063917808,0.303105478314148,95.6284593233237,0.756410256,0.247252747,0.324175824,0.428571428,0.128205128,0.064102564,0.033898305,0,0.39010989,0.39010989,0.21978022,0.15384615,0.49450549,0.35164835
2022,"1c614b599470f5c2df9170ee534a6208","home",71,265,229,46,25,11,0,10,29,32,33,1,52,2,1,0,6,0,0,0.200873362,0.124528301,0.196226415,0.634615384,0.305660377,0.379912663,0.68557304,0.179039301,0.214285714,29.0251014233548,-1.27670837184607,0.303684711004748,100.876149526169,0.833333333,0.129943502,0.395480225,0.474576271,0.13095238,0.119047619,0.071428571,1,0.4494382,0.35393258,0.19662921,0.16853933,0.45505618,0.37640449
2022,"fee7b40d2e6119a0e5b5d0cd955b48e5","home",66,268,240,59,41,12,0,6,28,42,23,1,55,1,2,0,7,4,0,0.245833333,0.085820895,0.20522388,0.418181818,0.312030075,0.370833333,0.682863408,0.125,0.292817679,28.7146453920029,-1.93020375936998,0.300679983507912,94.1885182311688,1.846153846,0.208556149,0.513368983,0.278074866,0.134615384,0.115384615,0.03125,0,0.36898396,0.3315508,0.29946524,0.14973262,0.54010695,0.31016043
2022,"3d0007e7d76a7faed16f56e6926971d6","home",3,10,9,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0.1,0.1,1,0.1,0,0.1,0,0,-0.770105965961625,-1.91357048653524,0.0688743948936462,-67.4464724101367,3,0,0.75,0.25,0,0,0,0,0.5,0.25,0.25,0.125,0.75,0.125
2022,"1d98b2b63f9342e105c5b0a0bf656d69","home",8,31,29,5,3,2,0,0,2,4,2,0,13,0,0,0,1,0,0,0.172413793,0.064516129,0.419354838,0.153846153,0.225806451,0.24137931,0.467185761,0.068965517,0.3125,1.12160814405406,-2.42313186972415,0.211354655604209,27.1731919207458,1.5,0.0625,0.5625,0.375,0,0,0,0,0.5,0.3125,0.1875,0.125,0.5,0.375
2022,"065cb6148b756da28fe36146193c293d","home",77,332,291,72,52,10,1,9,51,38,32,0,94,4,5,0,10,3,3,0.24742268,0.096385542,0.28313253,0.340425531,0.325301204,0.381443298,0.706744502,0.134020618,0.32642487,38.6854839489781,0.722461865934085,0.312485010149967,89.5086919043445,1.515151515,0.178217821,0.495049504,0.326732673,0.075757575,0.136363636,0.09,0,0.39108911,0.37128713,0.23762376,0.11881188,0.50990099,0.37128713
2022,"c89b3e0adda8869d009d8cda58a02fe5","home",34,114,102,15,11,3,0,1,5,8,12,0,40,0,0,0,0,1,0,0.147058823,0.105263157,0.350877192,0.3,0.236842105,0.205882352,0.442724457,0.058823529,0.229508196,3.9254487828648,-9.11004675167442,0.209155427782159,33.5086044292409,0.724137931,0.166666666,0.35,0.483333333,0.172413793,0.034482758,0.095238095,0,0.48387097,0.37096774,0.14516129,0.22580645,0.51612903,0.25806452
2022,"81e9ded38fbc2c3dde6c4b9a58f7b4b7","home",13,34,32,6,5,0,0,1,1,1,2,0,9,0,0,0,0,0,0,0.1875,0.058823529,0.264705882,0.222222222,0.235294117,0.28125,0.516544117,0.09375,0.227272727,1.77250077955788,-2.11527859039241,0.231433629989624,51.3341500598247,3,0.130434782,0.652173913,0.217391304,0,0.2,0,0,0.47826087,0.26086957,0.26086957,0.17391304,0.47826087,0.34782609
2022,"b195770516d9a75be99fcb699578ba17","home",27,53,47,15,11,3,0,1,11,7,4,0,10,0,0,2,2,2,2,0.319148936,0.075471698,0.188679245,0.4,0.372549019,0.44680851,0.819357529,0.127659574,0.388888888,8.15466191966513,2.09429996062497,0.359485630895577,136.251646054972,1.416666666,0.216216216,0.459459459,0.324324324,0.083333333,0.083333333,0.058823529,0,0.38461538,0.38461538,0.23076923,0.15384615,0.69230769,0.15384615
2022,"6d5b478b7726f890627caf30ed2945d4","home",71,302,252,56,26,11,0,19,45,45,37,5,58,12,1,0,8,3,1,0.222222222,0.122516556,0.19205298,0.637931034,0.347682119,0.492063492,0.839745611,0.26984127,0.210227272,46.578894830986,12.0462663096628,0.359955404744004,136.536175470701,0.666666666,0.175257731,0.329896907,0.49484536,0.104166666,0.197916666,0.03125,1,0.46666667,0.31794872,0.21538462,0.17948718,0.48717949,0.33333333
2022,"113acbd21af957deedd2ba4210cd2049","home",50,192,180,50,38,8,0,4,14,14,11,2,35,0,1,0,6,0,0,0.277777777,0.057291666,0.182291666,0.314285714,0.317708333,0.388888888,0.706597221,0.111111111,0.323943661,21.4184481660212,-0.536070628992208,0.306130780044355,102.542188284373,2.305555555,0.184931506,0.56849315,0.246575342,0.111111111,0.111111111,0.084337349,0,0.39726027,0.37671233,0.2260274,0.29452055,0.47945205,0.2260274
